site_name,transect_number,species_ID,species,number_invertebrates,biomass
Cruise,1,ISOPOD,NA,38,0.04850253493141313
Cruise,1,OTHER,NA,6,1.1014
Cruise,1,TRTR,Traskorchestia traskiana,56,0.641801378207746
Cruise,2,ISOPOD,NA,81,0.05987463548474797
Cruise,2,OTHER,NA,4,0.6398999999999999
Cruise,2,TRTR,Traskorchestia traskiana,100,1.834194218715016
Cruise,3,ISOPOD,NA,78,0.10994446485280535
Cruise,3,OTHER,NA,8,0.0163
Cruise,3,TRTR,Traskorchestia traskiana,52,0.46635480738274465
Eagle,1,TRTR,Traskorchestia traskiana,51,0.43196528280144975
Eagle,2,TRTR,Traskorchestia traskiana,17,0.14874099692947712
Eagle,3,TRTR,Traskorchestia traskiana,5,0.05348241665265921
Ferry,1,ISOPOD,NA,13,0.026483254041358463
Ferry,1,OTHER,NA,1,0.0038
Ferry,1,TRTR,Traskorchestia traskiana,6,0.10214246895912443
Ferry,2,ISOPOD,NA,10,0.014682894075440498
Ferry,2,OTHER,NA,2,0.010700000000000001
Ferry,2,TRTR,Traskorchestia traskiana,4,0.03220063615261603
Ferry,3,ISOPOD,NA,2,0.001230237565247447
Ferry,3,TRTR,Traskorchestia traskiana,15,0.19836700875180466
Halibut,1,ISOPOD,NA,4,0.010651202481130141
Halibut,1,OTHER,NA,3,0.08059999999999999
Halibut,1,TRTR,Traskorchestia traskiana,113,2.078928103723506
Halibut,2,ISOPOD,NA,1,0.0016163098595863034
Halibut,2,OTHER,NA,6,0.0048000000000000004
Halibut,2,TRTR,Traskorchestia traskiana,95,1.6052374632489541
Halibut,3,OTHER,NA,4,0.0026000000000000003
Halibut,3,TRTR,Traskorchestia traskiana,69,1.6431412028406711
Harbor,1,ISOPOD,NA,1,0.002805920272527868
Harbor,1,TRTR,Traskorchestia traskiana,544,3.7280495040437795
Harbor,2,ISOPOD,NA,3,0.0050488808342669545
Harbor,2,OTHER,NA,1,0.0029
Harbor,2,TRTR,Traskorchestia traskiana,124,0.8213030254710888
Harbor,3,ISOPOD,NA,4,0.009791734439315566
Harbor,3,TRTR,Traskorchestia traskiana,79,2.2017329691566583
Indian,1,ISOPOD,NA,30,0.05095734686933993
Indian,1,OTHER,NA,12,0.011499999999999998
Indian,1,TRTR,Traskorchestia traskiana,280,3.3758295618752348
Indian,2,ISOPOD,NA,474,1.2347598808496347
Indian,2,OTHER,NA,11,0.3551
Indian,2,TRTR,Traskorchestia traskiana,900,21.123150020548408
Indian,3,ISOPOD,NA,119,0.22221440359301903
Indian,3,OTHER,NA,39,0.24189999999999998
Indian,3,TRTR,Traskorchestia traskiana,970,20.016874234062364
Jamestown,1,ISOPOD,NA,4,0.0016260486472904857
Jamestown,1,TRTR,Traskorchestia traskiana,46,0.2866338139302972
Jamestown,2,ISOPOD,NA,11,0.011868706069972363
Jamestown,2,OTHER,NA,1,4e-4
Jamestown,2,TRTR,Traskorchestia traskiana,10,0.03197186461231516
Jamestown,3,ISOPOD,NA,43,0.03508133656434665
Jamestown,3,OTHER,NA,2,2e-4
Jamestown,3,TRTR,Traskorchestia traskiana,44,0.24127885858685594
Magic,1,ISOPOD,NA,10,0.06286883865023528
Magic,1,OTHER,NA,2,0.044899999999999995
Magic,1,TRTR,Traskorchestia traskiana,124,5.596758235094401
Magic,2,OTHER,NA,1,0.0041
Magic,2,TRTR,Traskorchestia traskiana,52,1.925242773641588
Magic,3,ISOPOD,NA,23,0.06764934991798972
Magic,3,OTHER,NA,1,0.0218
Magic,3,TRTR,Traskorchestia traskiana,105,2.6512923811995956
Mosquito,1,ISOPOD,NA,82,0.13270055507529532
Mosquito,1,OTHER,NA,10,0.013499999999999998
Mosquito,1,TRTR,Traskorchestia traskiana,24,0.5499499290469922
Mosquito,2,ISOPOD,NA,8,0.011277346332456582
Mosquito,2,OTHER,NA,13,0.0033999999999999994
Mosquito,2,TRTR,Traskorchestia traskiana,2,0.04290737011201742
Mosquito,3,ISOPOD,NA,3,0.003244688496977362
Mosquito,3,OTHER,NA,4,0.0246
Mosquito,3,TRTR,Traskorchestia traskiana,45,0.31146482265529235
NetIsland,1,ISOPOD,NA,1,0.0016163098595863034
NetIsland,1,TRTR,Traskorchestia traskiana,5,0.25582430078478524
NetIsland,2,TRTR,Traskorchestia traskiana,9,0.5058512833811206
NetIsland,3,ISOPOD,NA,29,0.029029875577286264
NetIsland,3,OTHER,NA,3,0.0616
NetIsland,3,TRTR,Traskorchestia traskiana,61,1.978594965634125
Private,1,ISOPOD,NA,29,0.04729921767121593
Private,1,OTHER,NA,4,0.030899999999999997
Private,1,TRTR,Traskorchestia traskiana,126,1.2389306022745634
