site_name,site_number,sampling_date,transect_number,distance_from_upper_transect,number_of_individuals_in_sample,species_id,species,length,mass,notes
Sandy,1,6-Aug-22,1,1,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,1,2,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,1,3,1,TRTR,Traskorchestia traskiana,13.2,0.0584,NA
Sandy,1,6-Aug-22,1,4,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,1,5,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,2,1,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,2,2,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,2,3,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,2,4,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,2,5,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,3,1,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,3,2,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,3,3,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,3,4,0,NA,NA,NA,NA,NA
Sandy,1,6-Aug-22,3,5,0,NA,NA,NA,NA,NA
Magic,2,9-Aug-22,1,1,4,TRTR,Traskorchestia traskiana,12.43,0.0459,NA
Magic,2,9-Aug-22,1,1,4,TRTR,Traskorchestia traskiana,14.13,0.0864,NA
Magic,2,9-Aug-22,1,1,4,TRTR,Traskorchestia traskiana,14.11,0.0684,NA
Magic,2,9-Aug-22,1,1,4,TRTR,Traskorchestia traskiana,10.88,0.0351,NA
Magic,2,9-Aug-22,1,2,5,TRTR,Traskorchestia traskiana,14.51,0.065,NA
Magic,2,9-Aug-22,1,2,5,TRTR,Traskorchestia traskiana,11.95,0.0487,NA
Magic,2,9-Aug-22,1,2,5,TRTR,Traskorchestia traskiana,10.92,0.0321,NA
Magic,2,9-Aug-22,1,2,5,OTHER,NA,NA,0.0226,Snail
Magic,2,9-Aug-22,1,2,5,OTHER,NA,NA,0.0223,Snail
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,20.1,0.181,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,11.81,0.0488,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,17.83,0.1761,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,15.26,0.084,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,14.09,0.0762,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,20.39,0.1737,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,17.47,0.1377,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,19.89,0.1649,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,17.79,0.159,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,15.51,0.0938,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,14.91,0.0989,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,11.6,0.0345,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,11.22,0.0412,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.75,0.0457,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.28,0.0299,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,13.6,0.0891,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,9.99,0.0274,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.37,0.0749,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,13.22,0.0706,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,12.07,0.05,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,14.23,0.0933,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,17.87,0.1651,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.78,0.0496,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.89,0.0482,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.85,0.0289,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,11.29,0.0375,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,7.33,0.0115,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,11.99,0.0432,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,7.08,0.0095,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,7.11,0.0092,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,NA,NA,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,NA,NA,NA
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,NA,NA,NA
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.54,0.0088,NA
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.1,0.0067,NA
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.91,0.0046,NA
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.89,0.0103,NA
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.74,0.0097,NA
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.39,0.0062,NA
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.96,0.0092,NA
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,NA,NA,NA
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,NA,NA,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.98,0.0668,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,10.1,0.033,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.05,0.0504,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,14.42,0.1,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,14.67,0.0815,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,3.93,0.0015,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,14.4,0.0728,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,14.57,0.0813,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.82,0.043,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,15.21,0.0999,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,4.53,0.0018,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,9.96,0.0245,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,10.21,0.0241,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,10.62,0.0239,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,16.22,0.075,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,11.31,0.0454,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,15.51,0.0734,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,15.13,0.0836,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,14.35,0.0815,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.19,0.0524,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,3.08,0.0026,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,5,0.0059,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,NA,NA,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,NA,NA,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,11.88,0.0553,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,17.76,0.1172,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.62,0.0522,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,11.44,0.0381,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,17.22,0.1166,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,5.37,0.003,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,4.04,0.0015,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,NA,NA,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,6,0.0049,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,NA,NA,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,5.23,0.0055,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,6.26,0.0073,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.24,0.0703,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,6.8,0.0083,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,NA,NA,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,4.33,0.0027,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,6.36,0.0058,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,7.46,0.0136,NA
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,5.99,0.0074,NA
Magic,2,9-Aug-22,1,4,44,ISOPOD,NA,4.8,0.0049,NA
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,13.74,0.0667,NA
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,6.24,0.0058,NA
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,5.61,0.0041,NA
