site,transect_number,species_ID,species,biomass
Cruise,1,DEAC,Desmarestia aculeata,2.043
Cruise,1,FUDI,Fucus distichus,7510.5
Cruise,1,GRCA,Grateloupia californica,10.034
Cruise,1,MAPY,Macrocystis pyrifera,435
Cruise,1,NELA,Neorhodomela larix,2.585
Cruise,1,ZOMA,Zostera marina,58
Cruise,2,AHFA,Ahnfeltia fastigiata,2.575
Cruise,2,FUDI,Fucus distichus,6559.5
Cruise,2,GRCA,Grateloupia californica,7.0329999999999995
Cruise,2,MAPY,Macrocystis pyrifera,2707
Cruise,2,MAST,Mastocarpus spp.,0.248
Cruise,2,NEOX,Neorhodomela spp.,5.218
Cruise,2,ZOMA,Zostera marina,75
Cruise,3,FUDI,Fucus distichus,6704.5
Cruise,3,GRCA,Grateloupia californica,20.972
Cruise,3,MAPH,Mazzaella phyllocarpa,0.979
Cruise,3,MAPY,Macrocystis pyrifera,122
Cruise,3,MAST,Mastocarpus spp.,2.044
Cruise,3,NEOX,Neorhodomela spp.,17.27
Cruise,3,OSSP,Osmundea spectabilis,0.341
Cruise,3,ULLA,Ulva latuca,2.063
Cruise,3,ZOMA,Zostera marina,92.139
Eagle,1,CEPA,Ceramium pacificum,6.694
Eagle,1,CLSE,Cladophora sericea,0.237
Eagle,1,FUDI,Fucus distichus,1928.7
Eagle,1,NELA,Neorhodomela larix,0.628
Eagle,1,PYLI,Pylaiella littoralis,121
Eagle,1,PYRO,Pyropia spp.,18.6
Eagle,1,ZOMA,Zostera marina,42.3
Eagle,2,CEPA,Ceramium pacificum,2.276
Eagle,2,FUDI,Fucus distichus,475
Eagle,2,HAGL,Halosacccion glandiforme,1.366
Eagle,2,MIBO,Microcladia borealis,0.686
Eagle,2,PYLI,Pylaiella littoralis,27.3
Eagle,2,ULIN,Ulva intestinalis,0.106
Eagle,2,ZOMA,Zostera marina,9
Eagle,3,FUDI,Fucus distichus,253
Eagle,3,PYLI,Pylaiella littoralis,1.3
Eagle,3,ZOMA,Zostera marina,12.7
Ferry,1,FUDI,Fucus distichus,213
Ferry,1,ZOMA,Zostera marina,13
Ferry,2,CLSE,Cladophora sericea,1.25
Ferry,2,FUDI,Fucus distichus,300
Ferry,2,MAST,Mastocarpus spp.,2
Ferry,2,NELA,Neorhodomela larix,1
Ferry,2,ZOMA,Zostera marina,23.5
Ferry,3,CLSE,Cladophora sericea,3.25
Ferry,3,FUDI,Fucus distichus,2257
Ferry,3,ZOMA,Zostera marina,16
Halibut,1,CHAE,Chaetomorpha sp.,5.532
Halibut,1,CHEX,Chondracanthus exasperatus,2.071
Halibut,1,CHFL,Chordaria flagelliformis,0.754
Halibut,1,DEAC,Desmarestia aculeata,45
Halibut,1,FUDI,Fucus distichus,4648
Halibut,1,GRCA,Grateloupia californica,9.485
Halibut,1,MAPH,Mazzaella phyllocarpa,0.595
Halibut,1,MAPY,Macrocystis pyrifera,4.185
Halibut,1,MAST,Mastocarpus spp.,1.027
Halibut,1,NELA,Neorhodomela larix,9.361
Halibut,1,ULIN,Ulva intestinalis,6.888
Halibut,1,ZOMA,Zostera marina,117.636
Halibut,2,CHEX,Chondracanthus exasperatus,5.583
Halibut,2,DEAC,Desmarestia aculeata,65
Halibut,2,FUDI,Fucus distichus,9890
Halibut,2,GRCA,Grateloupia californica,9.63
Halibut,2,HAGL,Halosacccion glandiforme,0.981
Halibut,2,NELA,Neorhodomela larix,18.778
Halibut,2,PAPA,Palmaria palmata,0.318
Halibut,2,ULIN,Ulva intestinalis,23.810000000000002
Halibut,2,ZOMA,Zostera marina,288.389
Halibut,3,CHEX,Chondracanthus exasperatus,1.928
Halibut,3,CYTR,Cymathaere triplicata,0.847
Halibut,3,DEAC,Desmarestia aculeata,320
Halibut,3,FUDI,Fucus distichus,7480
Halibut,3,GRCA,Grateloupia californica,0.916
Halibut,3,MAPY,Macrocystis pyrifera,280
Halibut,3,NELA,Neorhodomela larix,4.516
Halibut,3,ULIN,Ulva intestinalis,1.704
Halibut,3,ZOMA,Zostera marina,160.933
Harbor,1,DEAC,Desmarestia aculeata,228
Harbor,1,FUDI,Fucus distichus,3734.5
Harbor,1,MAPY,Macrocystis pyrifera,70.588
Harbor,1,MAST,Mastocarpus spp.,266.096
Harbor,1,NELA,Neorhodomela larix,183.955
Harbor,1,OSSP,Osmundea spectabilis,0.569
Harbor,1,PAPA,Palmaria palmata,18.712
Harbor,1,SALA,Saccharina latissima,2.5
Harbor,1,ZOMA,Zostera marina,3673.75
Harbor,2,DEAC,Desmarestia aculeata,38.726
Harbor,2,FUDI,Fucus distichus,1320
Harbor,2,MAPY,Macrocystis pyrifera,21
Harbor,2,MAST,Mastocarpus spp.,56.6
Harbor,2,NELA,Neorhodomela larix,47.665
Harbor,2,OSSP,Osmundea spectabilis,0.291
Harbor,2,PAPA,Palmaria palmata,1.56
Harbor,2,ZOMA,Zostera marina,402.5
Harbor,3,DEAC,Desmarestia aculeata,62
Harbor,3,FUDI,Fucus distichus,1726.25
Harbor,3,MAST,Mastocarpus spp.,6
Harbor,3,NELA,Neorhodomela larix,90
Harbor,3,OPCA,Opuntiella californica,1.276
Harbor,3,OSSP,Osmundea spectabilis,0.534
Harbor,3,PAPA,Palmaria palmata,5.93
Harbor,3,ZOMA,Zostera marina,51.25
Indian,1,CEPA,Ceramium pacificum,79.218
Indian,1,CHEX,Chondracanthus exasperatus,56.83
Indian,1,DEAC,Desmarestia aculeata,31.528
Indian,1,FUDI,Fucus distichus,74179
Indian,1,GRCA,Grateloupia californica,34.632
Indian,1,HAGL,Halosacccion glandiforme,6.8919999999999995
Indian,1,NEOX,Neorhodomela spp.,0.958
Indian,1,OSSP,Osmundea spectabilis,31.178
Indian,1,PAPA,Palmaria palmata,0.426
Indian,1,SALA,Saccharina latissima,119.13
Indian,1,ULLA,Ulva latuca,269.77
Indian,1,ZOMA,Zostera marina,76.795
Indian,2,CEPA,Ceramium pacificum,105.082
Indian,2,DEAC,Desmarestia aculeata,70.418
Indian,2,FUDI,Fucus distichus,81688.868
Indian,2,GRCA,Grateloupia californica,3.924
Indian,2,PAPA,Palmaria palmata,0.106
