site_name,site_number,sampling_date,transect_number,distance_from_upper_transect,number_of_individuals_in_sample,species_ID,species,length,mass,notes
Sandy,1,6-Aug-22,1,1,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,1,2,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,1,3,1,TRTR,Traskorchestia traskiana,13.2,0.0584,
Sandy,1,6-Aug-22,1,4,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,1,5,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,2,1,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,2,2,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,2,3,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,2,4,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,2,5,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,3,1,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,3,2,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,3,3,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,3,4,0,NA,NA,NA,NA,
Sandy,1,6-Aug-22,3,5,0,NA,NA,NA,NA,
Magic,2,9-Aug-22,1,1,4,TRTR,Traskorchestia traskiana,12.43,0.0459,
Magic,2,9-Aug-22,1,1,4,TRTR,Traskorchestia traskiana,14.13,0.0864,
Magic,2,9-Aug-22,1,1,4,TRTR,Traskorchestia traskiana,14.11,0.0684,
Magic,2,9-Aug-22,1,1,4,TRTR,Traskorchestia traskiana,10.88,0.0351,
Magic,2,9-Aug-22,1,2,5,TRTR,Traskorchestia traskiana,14.51,0.065,
Magic,2,9-Aug-22,1,2,5,TRTR,Traskorchestia traskiana,11.95,0.0487,
Magic,2,9-Aug-22,1,2,5,TRTR,Traskorchestia traskiana,10.92,0.0321,
Magic,2,9-Aug-22,1,2,5,OTHER,NA,NA,0.0226,Snail
Magic,2,9-Aug-22,1,2,5,OTHER,NA,NA,0.0223,Snail
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,20.1,0.181,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,11.81,0.0488,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,17.83,0.1761,
