site,site_number,sampling_date,sampling_method,swath_width,transect_number,zone_start,zone_end,species_ID,species,moisture,bag_mass,total_mass,wrack_mass_measured,wrack_mass_per_transect
Sandy,1,6-Aug-22,1m Swath Transect,1,1,0,10,ZOMA,Zostera marina,Wet,35,55,20,20
Sandy,1,6-Aug-22,1m Swath Transect,1,1,10,20,ZOMA,Zostera marina,Wet,35,44,9,9
Sandy,1,6-Aug-22,1m Swath Transect,1,1,0,10,MAPY,Macrocystis pyrifera,Wet,35,55,20,20
Sandy,1,6-Aug-22,1m Swath Transect,1,1,0,10,FUDI,Fucus distichus,Wet,35,440,405,405
Sandy,1,6-Aug-22,1m Swath Transect,1,1,0,10,DUAL,Dumontia alaskana,Wet,0,6.2,6.2,6.2
Sandy,1,6-Aug-22,1m Swath Transect,1,2,0,10,HAGL,Halosacccion glandiforme,Wet,0,2.2,2.2,2.2
Sandy,1,6-Aug-22,1m Swath Transect,1,2,0,10,ZOMA,Zostera marina,Wet,0,6,6,6
Sandy,1,6-Aug-22,1m Swath Transect,1,2,0,10,FUDI,Fucus distichus,Wet,0,90.5,90.5,90.5
Sandy,1,6-Aug-22,1m Swath Transect,1,3,10,20,ZOMA,Zostera marina,Wet,0,1.7,1.7,1.7
Sandy,1,6-Aug-22,1m Swath Transect,1,3,0,10,HAGL,Halosacccion glandiforme,Wet,0,5.8,5.8,5.8
Sandy,1,6-Aug-22,1m Swath Transect,1,3,0,10,ZOMA,Zostera marina,Wet,0,0.1,0.1,0.1
Sandy,1,6-Aug-22,1m Swath Transect,1,3,0,10,FUDI,Fucus distichus,Wet,0,37.4,37.4,37.4
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,ZOMA,Zostera marina,Dry,21,47,26,26
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,DEAC,Desmarestia aculeata,Dry,21,36,15,15
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,FUDI,Fucus distichus,Dry,20,255,235,235
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,DEAC,Desmarestia aculeata,Wet,20,265,245,245
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,MAPY,Macrocystis pyrifera,Wet,20,670,650,650
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,FUDI,Fucus distichus,Wet,60,2570,2510,2510
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,ZOMA,Zostera marina,Wet,40,1675,1635,1635
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,HAGL,Halosacccion glandiforme,Wet,21,24,3,3
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,NELA,Neorhodomela larix,Wet,21,22,1,1
Magic,2,9-Aug-22,1m Swath Transect,1,2,0,10,ZOMA,Zostera marina,Dry,20,95,75,75
Magic,2,9-Aug-22,1m Swath Transect,1,2,0,10,FUDI,Fucus distichus,Dry,20,265,245,245
Magic,2,9-Aug-22,1m Swath Transect,1,2,0,10,DEAC,Desmarestia aculeata,Wet,20,130,110,110
