site,site_number,sampling_date,sampling_method,transect_number,end_distance,species_ID,species,start_distance_from_upper_transect,end_distance_from_upper_transect,total_distance
Sandy,1,6-Aug-22,Line Intercept Transect,1,20,WOOD,Wood,0.383,0.402,0.019
Sandy,1,6-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.3,3.38,0.08
Sandy,1,6-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.47,3.49,0.02
Sandy,1,6-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,4.25,4.35,0.1
Sandy,1,6-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,5.27,5.31,0.04
Sandy,1,6-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,5.64,5.66,0.02
Sandy,1,6-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,3.821,3.823,0.002
Sandy,1,6-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,6.025,6.027,0.002
Sandy,1,6-Aug-22,Line Intercept Transect,3,20,WOOD,Wood,1.3,1.35,0.05
Sandy,1,6-Aug-22,Line Intercept Transect,3,20,HAGL,Halosacccion glandiforme,5.225,5.557,0.332
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,0.69,0.71,0.02
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,0.758,0.868,0.11
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,0.9,0.93,0.03
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.732,1.875,0.143
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,1.92,1.956,0.036
Magic,2,9-Aug-22,Line Intercept Transect,1,20,DEAC,Desmarestia aculeata,2.01,2.02,0.01
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,2.02,2.048,0.028
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,2.11,2.13,0.02
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,2.228,2.28,0.052
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,2.542,2.544,0.002
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,2.558,2.578,0.02
Magic,2,9-Aug-22,Line Intercept Transect,1,20,DEAC,Desmarestia aculeata,3.186,3.39,0.204
Magic,2,9-Aug-22,Line Intercept Transect,1,20,CYTR,Cymathaere triplicata,3.39,3.4,0.01
Magic,2,9-Aug-22,Line Intercept Transect,1,20,DEAC,Desmarestia aculeata,3.4,3.51,0.11
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.556,3.604,0.048
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,3.604,3.648,0.044
Magic,2,9-Aug-22,Line Intercept Transect,1,20,DEAC,Fucus dischitus,3.648,3.754,0.106
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,3.754,3.832,0.078
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Desmarestia aculeata,3.832,3.93,0.098
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,4.044,4.095,0.051
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,4.118,4.15,0.032
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,4.173,4.184,0.011
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,4.257,4.33,0.073
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Zostera marina,4.374,4.395,0.021
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Zostera marina,4.465,4.508,0.043
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,4.33,4.374,0.044
Magic,2,9-Aug-22,Line Intercept Transect,1,20,MAPY,Fucus dischitus,4.395,4.465,0.07
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Fucus dischitus,4.618,4.854,0.236
Magic,2,9-Aug-22,Line Intercept Transect,1,20,ZOMA,Macrocystis pyrifera,4.508,4.602,0.094
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Zostera marina,4.602,4.618,0.016
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Zostera marina,4.654,4.718,0.064
Magic,2,9-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,8.28,8.344,0.064
Magic,2,9-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,0.896,0.95,0.054
Magic,2,9-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.36,1.386,0.026
Magic,2,9-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.418,1.463,0.045
Magic,2,9-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.483,1.595,0.112
Magic,2,9-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,1.595,1.604,0.009
Magic,2,9-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,3.096,3.142,0.046
Magic,2,9-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,3.142,3.235,0.093
Magic,2,9-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,3.235,3.26,0.025
Magic,2,9-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,3.26,3.312,0.052
Magic,2,9-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,3.312,3.39,0.078
Magic,2,9-Aug-22,Line Intercept Transect,2,20,DEAC,Desmarestia aculeata,3.515,3.52,0.005
Magic,2,9-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,3.52,3.536,0.016
Magic,2,9-Aug-22,Line Intercept Transect,2,20,DEAC,Desmarestia aculeata,3.536,3.554,0.018
Magic,2,9-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,3.63,3.658,0.028
Magic,2,9-Aug-22,Line Intercept Transect,2,20,DEAC,Desmarestia aculeata,3.658,3.664,0.006
Magic,2,9-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,3.664,3.871,0.207
Magic,2,9-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,4.06,4.073,0.013
Magic,2,9-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,4.136,4.154,0.018
Magic,2,9-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,4.454,4.54,0.086
Magic,2,9-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,11.22,11.225,0.005
Magic,2,9-Aug-22,Line Intercept Transect,2,20,WOOD,Wood,0.395,0.43,0.035
Magic,2,9-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,0.66,0.675,0.015
Magic,2,9-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,0.723,0.81,0.087
Magic,2,9-Aug-22,Line Intercept Transect,3,20,DEAC,Desmarestia aculeata,0.81,0.86,0.05
Magic,2,9-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,0.942,0.975,0.033
Magic,2,9-Aug-22,Line Intercept Transect,3,20,DEAC,Desmarestia aculeata,1.162,1.178,0.016
Magic,2,9-Aug-22,Line Intercept Transect,3,20,ZOMA,Zostera marina,1.178,1.246,0.068
Magic,2,9-Aug-22,Line Intercept Transect,3,20,DEAC,Desmarestia aculeata,1.32,1.36,0.04
Magic,2,9-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,1.659,1.674,0.015
Magic,2,9-Aug-22,Line Intercept Transect,3,20,ZOMA,Zostera marina,3.063,3.085,0.022
Magic,2,9-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,3.35,3.425,0.075
Magic,2,9-Aug-22,Line Intercept Transect,3,20,DEAC,Desmarestia aculeata,3.425,3.49,0.065
Magic,2,9-Aug-22,Line Intercept Transect,3,20,ZOMA,Zostera marina,3.59,3.66,0.07
Magic,2,9-Aug-22,Line Intercept Transect,3,20,ZOMA,Zostera marina,3.775,3.818,0.043
Magic,2,9-Aug-22,Line Intercept Transect,3,20,ZOMA,Zostera marina,3.972,4.12,0.148
Magic,2,9-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,4.12,4.295,0.175
Magic,2,9-Aug-22,Line Intercept Transect,3,20,WOOD,Wood,2.44,2.459,0.019
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.335,1.4,0.065
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,WOOD,Wood,1.8,1.85,0.05
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.865,1.899,0.034
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,1.91,1.919,0.009
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,1.945,1.95,0.005
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,2.1,2.112,0.012
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,2.856,2.862,0.006
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.09,3.103,0.013
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,3.215,3.22,0.005
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.228,3.247,0.019
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,5.743,5.749,0.006
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,6.284,6.309,0.025
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,14.505,14.668,0.163
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,15.029,15.09,0.061
Ferry,3,11-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,17.765,17.8,0.035
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.156,1.17,0.014
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.205,1.214,0.009
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.316,1.341,0.025
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,1.578,1.596,0.018
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,1.678,1.688,0.01
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,1.765,1.786,0.021
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.786,1.795,0.009
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,2.106,2.124,0.018
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,2.706,2.725,0.019
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,2.74,2.784,0.044
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,3.31,3.352,0.042
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,4.431,4.442,0.011
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,4.525,4.531,0.006
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,6.305,6.316,0.011
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,WOOD,Wood,12.332,12.356,0.024
Ferry,3,11-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,14.932,15.101,0.169
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,ZOMA,Zostera marina,0.35,0.354,0.004
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,ZOMA,Zostera marina,0.398,0.407,0.009
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,1.855,1.908,0.053
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,5.236,5.274,0.038
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,6.159,6.173,0.014
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,6.812,6.847,0.035
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,9.906,9.911,0.005
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,12.258,12.332,0.074
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,12.918,13.022,0.104
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,13.042,13.093,0.051
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,13.548,13.649,0.101
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,13.83,13.936,0.106
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,14.389,14.472,0.083
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,WOOD,Wood,14.646,14.67,0.024
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,15.118,15.224,0.106
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,WOOD,Wood,15.928,15.945,0.017
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,15.95,15.963,0.013
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,16.38,16.478,0.098
Ferry,3,11-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,16.613,16.659,0.046
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,0.532,0.552,0.02
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,0.758,0.818,0.06
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,0.918,1.01,0.092
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.295,1.36,0.065
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.318,1.326,0.008
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.335,1.341,0.006
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.387,1.394,0.007
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.481,1.49,0.009
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,1.6,1.61,0.01
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,2.895,2.938,0.043
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,MAST,Mastocarpus spp.,3.032,3.068,0.036
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.173,3.199,0.026
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.616,3.7,0.084
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.812,3.969,0.157
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,3.969,3.972,0.003
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.972,4.038,0.066
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,ULIN,Ulva intestinalis,4.116,4.132,0.016
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,4.618,4.689,0.071
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,ULIN,Ulva intestinalis,5.483,5.489,0.006
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,CLSE,Cladophora sericea,7.31,7.335,0.025
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,CHFL,Chordaria flagelliformis,7.335,7.445,0.11
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,8.408,8.426,0.018
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,10.678,10.702,0.024
OldSitka,4,12-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,11.002,11.149,0.147
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.005,1.034,0.029
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.259,1.275,0.016
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.578,1.592,0.014
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,2.822,2.876,0.054
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,3.786,3.826,0.04
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,3.946,3.98,0.034
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,CLSE,Cladophora sericea,3.995,4.013,0.018
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,4.013,4.162,0.149
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,MAST,Mastocarpus spp.,4.165,4.178,0.013
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,4.224,4.232,0.008
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,4.258,4.355,0.097
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,4.376,4.526,0.15
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,4.6,4.617,0.017
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,4.658,4.666,0.008
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,5.068,5.075,0.007
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,5.701,5.712,0.011
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,7.381,7.392,0.011
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,MAST,Mastocarpus spp.,8.716,8.728,0.012
OldSitka,4,12-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,9.518,9.596,0.078
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,1.586,1.629,0.043
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,2.515,2.521,0.006
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,ZOMA,Zostera marina,2.775,2.784,0.009
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,2.875,2.9,0.025
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,4.8,5.292,0.492
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,CLSE,Cladophora sericea,5.292,5.345,0.053
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,5.345,5.442,0.097
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,5.558,5.6,0.042
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,5.737,5.807,0.07
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,6.778,6.791,0.013
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,6.986,7.045,0.059
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,7.126,7.201,0.075
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,7.942,7.959,0.017
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,8.325,8.405,0.08
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,8.613,8.658,0.045
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,8.704,8.746,0.042
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,9.182,9.207,0.025
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,9.28,9.378,0.098
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,9.582,9.605,0.023
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,10.281,10.313,0.032
